date, pm25, pm10, o3
2020/4/27, 12, , 
2020/4/28, 14, , 
2020/4/29, 16, , 
2020/4/30, 12, , 
2020/5/1, 17, , 
2020/5/2, 18, , 
2020/5/3, 12, , 
2020/5/4, 17, , 
2020/5/5, 19, , 
2020/5/6, 13, , 
2020/5/7, 14, , 
2020/5/8, 14, , 
2020/5/9, 16, , 
2020/5/10, 16, , 
2020/5/11, 21, , 
2020/5/12, 18, , 
2020/5/13, 12, , 
2020/5/14, 12, , 
2020/5/15, 11, , 
2020/5/16, 15, , 
2020/5/17, 13, , 
2020/5/18, 15, , 
2020/5/19, 11, , 
2020/5/20, 11, , 
2020/5/21, 10, , 
2020/5/22, 10, , 
2020/5/23, 11, , 
2020/5/24, 14, , 
2020/5/25, 17, , 
2020/5/26, 11, , 
2020/5/27, 13, , 
2020/5/28, 18, , 
2020/5/29, 25, , 
2020/5/30, 23, , 
2020/5/31, 11, , 
2020/6/1, 15, , 
2020/6/2, 14, , 
2020/6/3, 14, , 
2020/6/4, 14, , 
2020/6/5, 16, , 
2020/6/6, 12, , 
2020/6/7, 10, , 
2020/6/8, 13, , 
2020/6/9, 13, , 
2020/6/10, 13, , 
2020/6/11, 13, , 
2020/6/12, 12, , 
2020/6/13, 9, , 
2020/6/14, 10, , 
2020/6/15, 14, , 
2020/6/16, 11, , 
2020/6/17, 13, , 
2020/6/18, 16, , 
2020/6/19, 18, , 
2020/6/20, 16, , 
2020/6/21, 11, , 
2020/6/22, 12, , 
2020/6/23, 18, , 
2020/6/24, 14, , 
2020/6/25, 16, , 
2020/6/26, 22, , 
2020/6/27, 11, , 
2020/6/28, 10, , 
2020/6/29, 16, , 
2020/6/30, 12, , 
2020/1/1, 32, , 
2020/1/2, 18, , 
2020/1/3, 32, , 
2020/1/4, 42, , 
2020/1/5, 67, , 
2020/1/6, 29, , 
2020/1/7, 22, , 
2020/1/8, 18, , 
2020/1/9, 20, , 
2020/1/10, 31, , 
2020/1/11, 21, , 
2020/1/12, 14, , 
2020/1/13, 14, , 
2020/1/14, 26, , 
2020/1/15, 24, , 
2020/1/16, 56, , 
2020/1/17, 34, , 
2020/1/18, 54, , 
2020/1/19, 66, , 
2020/1/20, 66, , 
2020/1/21, 57, , 
2020/1/22, 36, , 
2020/1/23, 47, , 
2020/1/24, 51, , 
2020/1/25, 34, , 
2020/1/26, 22, , 
2020/1/27, 19, , 
2020/1/28, 20, , 
2020/1/29, 21, , 
2020/1/30, 20, , 
2020/1/31, 28, , 
2020/2/1, 10, , 
2020/2/2, 12, , 
2020/2/3, 13, , 
2020/2/4, 23, , 
2020/2/5, 19, , 
2020/2/6, 10, , 
2020/2/7, 9, , 
2020/2/8, 10, , 
2020/2/9, 15, , 
2020/2/10, 18, , 
2020/2/11, 17, , 
2020/2/12, 14, , 
2020/2/13, 18, , 
2020/2/14, 12, , 
2020/2/15, 15, , 
2020/2/16, 14, , 
2020/2/17, 12, , 
2020/2/18, 21, , 
